iter	CrossEntropy
0	0.6909367178
1	0.6888241897
2	0.6867306363
3	0.6843437729
4	0.6824066289
5	0.6802143504
6	0.6783927705
7	0.6760733702
8	0.6741680707
9	0.6723061012
10	0.6704533304
11	0.6685845546
12	0.6665384082
13	0.6646962032
14	0.6629731308
15	0.6613696913
16	0.6597550236
17	0.6578446739
18	0.6561873173
19	0.6545797849
20	0.6530069312
21	0.6514522303
22	0.649698749
23	0.6476885143
24	0.6462196957
25	0.6448819489
26	0.6432902012
27	0.6418797117
28	0.6405173481
29	0.6389519844
30	0.6375857063
31	0.6362848985
32	0.6348527555
33	0.6334764508
34	0.632161503
35	0.6308556302
36	0.6294598116
37	0.627977856
38	0.6267018715
39	0.6253623738
40	0.6239031942
41	0.6227750243
42	0.6216718853
43	0.6207321139
44	0.6196832158
45	0.6184465726
46	0.6175241524
47	0.6163817265
48	0.6154511658
49	0.6142633485
50	0.6132141525
51	0.6121731177
52	0.6110327361
53	0.6100734467
54	0.6090678439
55	0.6082061686
56	0.6070212158
57	0.605888767
58	0.605128349
59	0.6041741224
60	0.6033415165
61	0.6026699013
62	0.6019257151
63	0.6011744949
64	0.6001470933
65	0.5992987654
66	0.5983822777
67	0.5974422382
68	0.5968864183
69	0.5959534197
70	0.595285273
71	0.5947000934
72	0.5936691886
73	0.592676848
74	0.5919563512
75	0.5912485909
76	0.590485291
77	0.5898403162
78	0.5892983851
79	0.5886011289
80	0.5877423654
81	0.5870019233
82	0.5863108962
83	0.5856482289
84	0.5848964702
85	0.5839941393
86	0.5831855928
87	0.5823871563
88	0.581625692
89	0.5807839957
90	0.5800117605
91	0.5795329742
92	0.5786154304
93	0.577961861
94	0.5768475118
95	0.5760908387
96	0.5750140806
97	0.5744878965
98	0.5734513125
99	0.5729034515
100	0.5722353045
101	0.5713852135
102	0.5706084677
103	0.5700297399
104	0.5692287199
105	0.5686681317
106	0.5679233821
107	0.5674308548
108	0.5667707552
109	0.5661845611
110	0.5656259451
111	0.5648286005
112	0.5643521211
113	0.5637207097
114	0.5633042759
115	0.5625504345
116	0.5618499432
117	0.5611789174
118	0.5608748218
119	0.5602460839
120	0.5594674052
121	0.5588357592
122	0.5582572265
123	0.5571009257
124	0.5565117943
125	0.5558585317
126	0.5552926064
127	0.5548794298
128	0.5544018141
129	0.5535597927
130	0.5530220883
131	0.5523024286
132	0.5520043817
133	0.5514220753
134	0.5510145883
135	0.5505735792
136	0.5500629459
137	0.5494430535
138	0.5489792767
139	0.5485018755
140	0.5479469323
141	0.5473280408
142	0.546642376
143	0.5462431969
