iter	Passed	Remaining
0	2	2875
1	5	2725
2	8	2664
3	10	2727
4	13	2655
5	15	2603
6	18	2591
7	20	2592
8	23	2603
9	26	2618
10	29	2609
11	31	2602
12	34	2588
13	36	2567
14	38	2553
15	41	2531
16	43	2509
17	45	2485
18	48	2484
19	50	2457
20	52	2454
21	55	2488
22	58	2491
23	60	2470
24	62	2456
25	65	2441
26	67	2441
27	70	2432
28	72	2431
29	75	2436
30	78	2442
31	80	2436
32	83	2433
33	85	2430
34	88	2441
35	90	2426
36	93	2431
37	95	2429
38	98	2429
39	100	2423
40	103	2417
41	105	2411
42	108	2403
43	110	2400
44	112	2390
45	115	2389
46	117	2387
47	120	2382
48	122	2378
49	124	2374
50	127	2367
51	129	2361
52	131	2355
53	134	2349
54	136	2346
55	138	2340
56	141	2340
57	143	2333
58	146	2333
59	148	2328
60	151	2325
61	153	2323
62	156	2321
63	158	2319
64	161	2317
65	163	2317
66	165	2310
67	168	2307
68	170	2305
69	174	2315
70	176	2312
71	179	2308
72	181	2305
73	183	2301
74	186	2298
75	188	2297
76	191	2295
77	194	2302
78	197	2301
79	200	2304
80	202	2301
81	205	2303
82	208	2303
83	211	2301
84	213	2299
85	216	2298
86	218	2295
87	221	2292
88	223	2292
89	226	2288
90	228	2287
91	231	2280
92	233	2278
93	236	2274
94	238	2271
95	240	2269
96	243	2265
97	245	2263
98	248	2259
99	250	2255
100	252	2251
101	255	2247
102	257	2243
103	260	2240
104	262	2237
105	264	2234
106	267	2234
107	270	2230
108	272	2225
109	274	2221
110	277	2220
111	279	2217
112	281	2211
113	283	2206
114	286	2202
115	288	2199
116	291	2196
117	293	2194
118	295	2191
119	299	2194
120	302	2198
121	304	2194
122	307	2192
123	309	2188
124	312	2186
125	314	2184
126	317	2180
127	320	2183
128	323	2182
129	325	2180
130	328	2180
131	331	2176
132	333	2175
133	336	2172
134	338	2167
135	340	2164
136	343	2161
137	345	2160
138	348	2158
139	351	2156
140	353	2153
141	355	2150
142	358	2148
143	361	2146
144	363	2144
145	366	2142
146	368	2139
147	371	2137
148	373	2135
149	376	2133
150	379	2131
151	381	2127
152	384	2126
153	386	2122
154	388	2119
155	391	2117
156	393	2114
157	396	2112
158	399	2110
159	401	2107
160	403	2104
161	406	2102
162	409	2100
163	411	2097
164	414	2095
165	416	2092
166	418	2089
167	421	2086
168	424	2085
169	426	2082
170	429	2079
171	431	2077
172	434	2074
173	436	2072
174	439	2069
175	441	2067
176	443	2063
177	446	2059
178	448	2057
179	451	2054
180	453	2050
181	455	2048
182	458	2045
183	460	2043
184	463	2041
185	465	2038
186	468	2036
187	470	2034
188	473	2031
189	475	2028
190	478	2026
191	480	2024
192	483	2020
193	485	2018
194	488	2016
195	490	2013
196	493	2010
197	495	2007
198	498	2005
199	500	2002
200	503	1999
201	505	1995
202	507	1992
203	509	1989
204	511	1985
205	514	1982
206	516	1979
207	519	1977
208	521	1974
209	524	1971
210	526	1968
211	528	1965
212	531	1962
213	533	1960
214	536	1957
